Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Result,Rpt Limit,Units,Method,Depth,Matrix,Sample Type,Parent Sample,Description,Notes
Grant Line Canal East,GLC-East,B9D74921261,CF0713B0298,7/30/2013 10:45,Chlorophyll a,479-61-8,22.75,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0713B0298,7/30/2013 10:45,Pheophytin a,0,10.07,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0813B0034,8/13/2013 10:20,Chlorophyll a,479-61-8,11.64,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0813B0034,8/13/2013 10:20,Pheophytin a,0,11.24,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0813B0091,8/27/2013 11:05,Chlorophyll a,479-61-8,7.48,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0813B0091,8/27/2013 11:05,Pheophytin a,0,4.04,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0913B0149,9/13/2013 9:33,Chlorophyll a,479-61-8,10.68,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0913B0149,9/13/2013 9:33,Pheophytin a,0,4.8,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1013B0213,10/2/2013 9:45,Chlorophyll a,479-61-8,2.99,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1013B0213,10/2/2013 9:45,Pheophytin a,0,1.8,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1013B0375,10/24/2013 9:33,Chlorophyll a,479-61-8,1.59,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1013B0375,10/24/2013 9:33,Pheophytin a,0,1.08,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1113B0441,11/7/2013 11:00,Chlorophyll a,479-61-8,3.07,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1113B0441,11/7/2013 11:00,Pheophytin a,0,1.32,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1213B0507,12/5/2013 11:30,Chlorophyll a,479-61-8,3.67,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1213B0507,12/5/2013 11:30,Pheophytin a,0,1.53,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0114B0012,1/6/2014 11:14,Chlorophyll a,479-61-8,5.21,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0114B0012,1/6/2014 11:14,Pheophytin a,0,2.05,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0114B0073,1/22/2014 11:45,Chlorophyll a,479-61-8,14.52,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0114B0073,1/22/2014 11:45,Pheophytin a,0,4.91,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0214B0147,2/12/2014 11:45,Chlorophyll a,479-61-8,9.83,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0214B0147,2/12/2014 11:45,Pheophytin a,0,5.43,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0314B0242,3/14/2014 11:05,Chlorophyll a,479-61-8,66.64,0.1,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0314B0242,3/14/2014 11:05,Pheophytin a,0,14.85,0.1,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0414B0339,4/4/2014 9:45,Chlorophyll a,479-61-8,1.17,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0414B0339,4/4/2014 9:45,Pheophytin a,0,4.04,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0414B0459,4/25/2014 10:05,Chlorophyll a,479-61-8,0.75,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0414B0459,4/25/2014 10:05,Pheophytin a,0,2.06,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0514B0525,5/12/2014 9:57,Chlorophyll a,479-61-8,0.7,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0514B0525,5/12/2014 9:57,Pheophytin a,0,1.28,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0514B0669,5/30/2014 9:56,Chlorophyll a,479-61-8,1.03,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0514B0639,5/30/2014 9:56,Specific Conductance,0,528,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0514B0669,5/30/2014 9:56,Pheophytin a,0,0.83,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0514B0639,5/30/2014 9:56,Total Dissolved Solids,0,294,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0614B0708,6/5/2014 10:15,Chlorophyll a,479-61-8,1.31,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0614B0708,6/5/2014 10:15,Specific Conductance,0,643,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0614B0708,6/5/2014 10:15,Specific Conductance,0,644,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0614B0708,6/5/2014 10:15,Pheophytin a,0,1.39,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0614B0708,6/5/2014 10:15,Total Dissolved Solids,0,374,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0614B0740,6/18/2014 9:45,Chlorophyll a,479-61-8,1.59,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0614B0740,6/18/2014 9:45,Specific Conductance,0,895,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0614B0740,6/18/2014 9:45,Pheophytin a,0,2.36,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0614B0740,6/18/2014 9:45,Total Dissolved Solids,0,533,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0806,7/1/2014 9:15,Chlorophyll a,479-61-8,1.89,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0806,7/1/2014 9:15,Specific Conductance,0,794,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0806,7/1/2014 9:15,Pheophytin a,0,1.46,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0806,7/1/2014 9:15,Total Dissolved Solids,0,464,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0867,7/15/2014 10:00,Chlorophyll a,479-61-8,7.16,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0867,7/15/2014 10:00,Specific Conductance,0,805,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0867,7/15/2014 10:00,Pheophytin a,0,6.82,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0867,7/15/2014 10:00,Total Dissolved Solids,0,442,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0969,7/30/2014 10:35,Chlorophyll a,479-61-8,9.51,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0969,7/30/2014 10:35,Specific Conductance,0,780,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0969,7/30/2014 10:35,Pheophytin a,0,2.83,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0714B0969,7/30/2014 10:35,Total Dissolved Solids,0,448,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0814B1092,8/21/2014 11:45,Chlorophyll a,479-61-8,18.05,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0814B1092,8/21/2014 11:45,Pheophytin a,0,4,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0914B1186,9/4/2014 10:00,Chlorophyll a,479-61-8,10.68,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0914B1186,9/4/2014 10:00,Specific Conductance,0,900,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0914B1186,9/4/2014 10:00,Pheophytin a,0,5.02,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0914B1186,9/4/2014 10:00,Total Dissolved Solids,0,521,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0914B1316,9/26/2014 9:15,Chlorophyll a,479-61-8,11.32,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0914B1316,9/26/2014 9:15,Specific Conductance,0,827,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0914B1316,9/26/2014 9:15,Pheophytin a,0,5.87,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0914B1316,9/26/2014 9:15,Total Dissolved Solids,0,466,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1014B1417,10/10/2014 9:43,Chlorophyll a,479-61-8,4.49,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1014B1417,10/10/2014 9:43,Specific Conductance,0,952,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1014B1417,10/10/2014 9:43,Pheophytin a,0,3.21,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1014B1417,10/10/2014 9:43,Total Dissolved Solids,0,544,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1014B1525,10/30/2014 11:35,Chlorophyll a,479-61-8,1.41,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1014B1525,10/30/2014 11:35,Specific Conductance,0,516,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1014B1525,10/30/2014 11:35,Pheophytin a,0,7.06,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1014B1525,10/30/2014 11:35,Total Dissolved Solids,0,288,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1014B1525,10/30/2014 11:35,Total Dissolved Solids,0,287,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1114B1619,11/18/2014 13:31,Chlorophyll a,479-61-8,17.84,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1114B1619,11/18/2014 13:31,Specific Conductance,0,574,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1114B1619,11/18/2014 13:31,Pheophytin a,0,2.95,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1114B1619,11/18/2014 13:31,Total Dissolved Solids,0,326,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1214B1692,12/10/2014 11:00,Chlorophyll a,479-61-8,4.25,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1214B1692,12/10/2014 11:00,Specific Conductance,0,669,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1214B1692,12/10/2014 11:00,Pheophytin a,0,3.09,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF1214B1692,12/10/2014 11:00,Total Dissolved Solids,0,387,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0115B0041,1/8/2015 10:31,Chlorophyll a,479-61-8,4.06,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0115B0041,1/8/2015 10:31,Specific Conductance,0,1118,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0115B0041,1/8/2015 10:31,Pheophytin a,0,1.18,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0115B0041,1/8/2015 10:31,Total Dissolved Solids,0,657,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0115B0095,1/27/2015 11:45,Chlorophyll a,479-61-8,1.93,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0115B0095,1/27/2015 11:45,Specific Conductance,0,887,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0115B0095,1/27/2015 11:45,Pheophytin a,0,0.9,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0115B0095,1/27/2015 11:45,Total Dissolved Solids,0,512,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0215B0194,2/19/2015 12:15,Chlorophyll a,479-61-8,27.77,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0215B0194,2/19/2015 12:15,Specific Conductance,0,1018,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0215B0194,2/19/2015 12:15,Pheophytin a,0,9.32,0.05,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0215B0194,2/19/2015 12:15,Total Dissolved Solids,0,597,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0315B0291,3/12/2015 11:20,Chlorophyll a,479-61-8,20.91,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0315B0291,3/12/2015 11:20,Specific Conductance,0,995,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0315B0291,3/12/2015 11:20,Pheophytin a,0,14.58,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0315B0291,3/12/2015 11:20,Total Dissolved Solids,0,576,1,mg/L,Std Method 2540 C [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0315B0356,3/25/2015 12:00,Chlorophyll a,479-61-8,2.31,0.5,ug/L,Std Method 10200 H [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
Grant Line Canal East,GLC-East,B9D74921261,CF0315B0356,3/25/2015 12:00,Specific Conductance,0,1003,1,uS/cm@25 °C,Std Method 2510 B (Filtered) [1]*,1 Meters,"Water, Natural",Normal Sample,0,Grant Line Canal East of Barrier,
